Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api,,,,28-05-2024 21:00:17,28-05-2024 21:00:25,7.221s,PASSED
,,,,,,,
Test Cases/ad,,,,28-05-2024 21:00:18,28-05-2024 21:00:24,6.158s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,28-05-2024 21:00:18,28-05-2024 21:00:24,5.645s,PASSED
,,,,,,,
Test Cases/api,,,,28-05-2024 21:00:24,28-05-2024 21:00:24,0.385s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,28-05-2024 21:00:24,28-05-2024 21:00:24,0.286s,PASSED
,,,,,,,
Test Cases/New Test Case (2),,,,28-05-2024 21:00:24,28-05-2024 21:00:25,0.309s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,28-05-2024 21:00:24,28-05-2024 21:00:25,0.253s,PASSED
