Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 126.0.0.0,,,19-06-2024 22:34:25,19-06-2024 22:39:41,5m - 16.469s,PASSED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 126.0.0.0,,,19-06-2024 22:34:29,19-06-2024 22:39:41,5m - 11.793s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,19-06-2024 22:34:36,19-06-2024 22:35:30,54.197s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 126.0.0.0,,,19-06-2024 22:35:30,19-06-2024 22:37:03,1m - 33.442s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 126.0.0.0,,,19-06-2024 22:37:03,19-06-2024 22:37:15,11.266s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 126.0.0.0,,,19-06-2024 22:37:15,19-06-2024 22:37:20,5.363s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 126.0.0.0,,,19-06-2024 22:37:20,19-06-2024 22:37:28,7.682s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 126.0.0.0,,,19-06-2024 22:37:28,19-06-2024 22:37:31,3.415s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 126.0.0.0,,,19-06-2024 22:37:31,19-06-2024 22:37:35,4.288s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 126.0.0.0,,,19-06-2024 22:37:35,19-06-2024 22:37:38,2.632s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 126.0.0.0,,,19-06-2024 22:37:38,19-06-2024 22:37:43,5.121s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 126.0.0.0,,,19-06-2024 22:37:43,19-06-2024 22:37:47,3.736s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 126.0.0.0,,,19-06-2024 22:37:47,19-06-2024 22:37:54,7.451s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 126.0.0.0,,,19-06-2024 22:37:54,19-06-2024 22:38:03,8.253s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 126.0.0.0,,,19-06-2024 22:38:03,19-06-2024 22:38:06,3.074s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 126.0.0.0,,,19-06-2024 22:38:06,19-06-2024 22:38:09,3.112s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 126.0.0.0,,,19-06-2024 22:38:09,19-06-2024 22:38:14,5.311s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 126.0.0.0,,,19-06-2024 22:38:14,19-06-2024 22:38:21,7.020s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 126.0.0.0,,,19-06-2024 22:38:21,19-06-2024 22:38:25,3.731s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,19-06-2024 22:38:25,19-06-2024 22:38:30,4.911s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 126.0.0.0,,,19-06-2024 22:38:30,19-06-2024 22:38:34,3.673s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,19-06-2024 22:38:34,19-06-2024 22:38:39,5.636s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,19-06-2024 22:38:39,19-06-2024 22:39:41,1m - 1.931s,PASSED
