Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 18:26:36,04-07-2024 18:31:14,4m - 38.615s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:26:38,04-07-2024 18:27:30,51.578s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:26:40,04-07-2024 18:26:50,9.675s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:26:50,04-07-2024 18:26:57,7.272s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:26:57,04-07-2024 18:27:01,3.347s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:27:01,04-07-2024 18:27:30,29.230s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:27:30,04-07-2024 18:28:56,1m - 25.775s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:27:31,04-07-2024 18:27:39,8.457s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:27:39,04-07-2024 18:27:49,9.828s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:27:49,04-07-2024 18:27:55,5.764s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:27:55,04-07-2024 18:28:56,1m - 1.171s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:28:56,04-07-2024 18:29:33,37.431s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:28:56,04-07-2024 18:29:01,4.605s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:29:01,04-07-2024 18:29:08,7.178s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:29:08,04-07-2024 18:29:11,2.840s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:29:11,04-07-2024 18:29:33,22.230s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:29:33,04-07-2024 18:30:22,48.893s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:29:34,04-07-2024 18:29:38,4.236s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:29:38,04-07-2024 18:29:42,3.634s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:29:42,04-07-2024 18:29:48,6.134s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:29:48,04-07-2024 18:30:22,34.159s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:30:22,04-07-2024 18:30:51,28.140s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:30:23,04-07-2024 18:30:30,6.823s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:30:30,04-07-2024 18:30:33,3.416s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:30:33,04-07-2024 18:30:38,5.195s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:30:38,04-07-2024 18:30:51,12.266s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:30:51,04-07-2024 18:31:14,23.775s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:30:52,04-07-2024 18:30:55,3.615s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:30:55,04-07-2024 18:31:01,5.953s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:31:01,04-07-2024 18:31:03,2.025s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:31:03,04-07-2024 18:31:14,11.184s,PASSED
